t,angular_displacement,angular_velocity
0.00E+00,-1.558,16.52
1.67E-02,-1.272,17.73
3.33E-02,-0.967,18.09
5.00E-02,-0.669,16.35
6.67E-02,-0.422,10.6
8.33E-02,-0.316,7.246
0.1,-0.181,6.973
0.117,-8.34E-02,3.98
0.133,-4.79E-02,1.012
0.15,-4.96E-02,-2.469
0.167,-0.13,-2.992
0.183,-0.149,-5.569
0.2,-0.316,-6.557
0.217,-0.368,-3.518
0.233,-0.433,-5.67
0.25,-0.557,-8.574
0.267,-0.719,-11.62
0.283,-0.944,-14.96
0.3,-1.217,-14.32
0.317,-1.422,-13.55
0.333,-1.669,-12.09
0.35,-1.825,-14.16
0.367,-2.141,-14.13
0.383,-2.296,-10.3
0.4,-2.484,-9.66
0.417,-2.618,-8.657
0.433,-2.773,-7.594
0.45,-2.871,-2.945
0.467,-2.871,0
0.483,-2.871,2.242
0.5,-2.796,5.142
0.517,-2.7,5.911
0.533,-2.599,6.861
0.55,-2.471,8.426
0.567,-2.318,9.793
0.583,-2.144,10.32
0.6,-1.974,12.36
0.617,-1.732,13.39
0.633,-1.528,15.16
0.65,-1.227,16.49
0.667,-0.978,13.81
0.683,-0.767,10.32
0.7,-0.634,8.317
0.717,-0.49,6.221
0.733,-0.427,6.157
0.75,-0.284,5.145
0.767,-2.55E-01,0.871
0.783,-0.255,-1.206
0.8,-0.296,-2.604
0.817,-0.342,-2.933
0.833,-0.393,-4.395
0.85,-0.489,-7.559
0.867,-0.645,-8.027
0.883,-0.756,-7.99
0.9,-0.912,-9.653
0.917,-1.08E+00,-13.67
0.933,-1.367,-14.12
0.95,-1.549,-10.95
0.967,-1.732,-12.11
0.983,-1.952,-11.55
1,-2.117,-11.26
1.017,-2.328,-8.716
1.033,-2.408,-3.985
1.05,-2.461,-5.838
1.067,-2.60E+00,-6.69
1.083,-2.684,1.326
1.1,-2.558,5.954
1.117,-2.485,5.007
1.133,-2.392,5.185
1.15,-2.312,6.905
1.167,-2.161,10.91
1.183,-1.948,11.8
1.2,-1.768,10.55
1.218,-1.58E+00,10.35
1.235,-1.406,12.11
1.252,-1.175,13.17
1.268,-0.967,12.26
1.285,-0.767,9.191
1.302,-0.661,7.056
1.318,-0.532,6.308
1.335,-0.45,3.904
1.352,-0.402,2.664
1.368,-0.361,-7.21E-02
1.385,-0.404,-2.412
1.402,-0.442,-3.085
1.418,-0.507,-4.218
1.435,-0.582,-6.202
1.452,-0.714,-7.139
1.468,-0.82,-9.271
1.485,-1.023,-10.1
1.502,-1.16E+00,-11.91
1.518,-1.42E+00,-12.65
1.535,-1.579,-9.634
1.552,-1.741,-9.229
1.568,-1.886,-10.85
1.585,-2.103,-10.18
1.602,-2.226,-4.387
1.618,-2.249,-2.601
1.635,-2.312,-4.684
1.652,-2.405,-3.257
1.668,-2.421,1.8
1.685,-2.345,2.278
1.702,-2.345,3.7
1.718,-2.222,5.507
1.735,-2.161,3.243
1.752,-2.113,7.621
1.768,-1.907,11.41
1.785,-1.733,9.099
1.802,-1.60E+00,8.294
1.818,-1.457,10.96
1.835,-1.239,11.8
1.852,-1.063,8.963
1.868,-0.94,10.33
1.885,-0.719,8.041
1.902,-0.672,1.807
1.918,-0.659,3.055
1.935,-0.57,2.31
1.952,-0.582,-2.656
1.968,-0.659,-3.626
1.985,-0.702,-1.237
2.002,-0.7,-6.17
2.018,-0.908,-8.88
2.035,-0.996,-8.469
2.052,-1.19,-9.965
2.068,-1.328,-9.443
2.085,-1.51E+00,-9.983
2.102,-1.661,-8.351
2.118,-1.784,-7.057
2.135,-1.896,-7.044
2.152,-2.018,-9.273
2.168,-2.205,-6.807
2.185,-2.245,-3.427
2.202,-2.319,-2.65
2.218,-2.334,-1.202
2.235,-2.359,-0.773
2.252,-2.359,1.954
2.268,-2.294,1.954
2.285,-2.294,3.357
2.302,-2.182,5.844
2.318,-2.099,6.241
2.335,-1.974,7.527
2.352,-1.849,7.085
2.368,-1.74E+00,6.437
2.385,-1.634,6.238
2.402,-1.53,7.773
2.418,-1.375,10.8
2.435,-1.17,7.559
2.452,-1.123,3.88
2.468,-1.041,4.761
2.485,-0.964,3.735
2.502,-0.917,1.29
2.518,-0.921,-1.614
2.535,-0.97,-4.472
2.552,-1.07,-3.961
2.568,-1.102,-3.606
2.585,-1.19,-5.197
2.602,-1.276,-6.599
2.618,-1.41,-9.482
2.635,-1.59E+00,-8.236
2.652,-1.69E+00,-5.967
2.668,-1.791,-6.192
2.685,-1.891,-5.308
2.702,-1.968,-6.657
2.718,-2.113,-5.648
2.735,-2.156,-3.441
2.752,-2.228,-3.793
2.768,-2.282,-2.037
2.785,-2.296,-0.408
2.802,-2.296,1.254
2.818,-2.254,2.14
2.835,-2.225,1.468
2.852,-2.205,3.036
2.868,-2.123,4.804
2.885,-2.045,5.115
2.902,-1.953,5.527
2.918,-1.86E+00,5.591
2.935,-1.77E+00,5.96
2.952,-1.66E+00,5.803
2.968,-1.573,6.973
2.985,-1.43,7.675
3.002,-1.317,5.315
3.018,-1.252,6.127
3.035,-1.113,2.259
3.052,-1.177,-1.929
3.068,-1.177,1.602
3.085,-1.124,0.948
3.102,-1.146,-2.694
3.118,-1.214,-4.188
3.135,-1.285,-4.391
3.152,-1.36,-3.149
3.168,-1.39,-5.577
3.185,-1.55E+00,-8.275
3.202,-1.67E+00,-6.713
3.218,-1.77E+00,-6.026
3.235,-1.867,-5.457
3.252,-1.951,-4.725
3.268,-2.024,-4.253
3.285,-2.093,-5.424
3.302,-2.205,-3.938
3.318,-2.225,-1.896
3.335,-2.268,-1.612
3.352,-2.278,-0.677
3.368,-2.291,-0.379
3.385,-2.291,1.845
3.402,-2.229,2.84
3.418,-2.196,2.594
3.435,-2.143,2.934
3.452,-2.098,2.994
3.468,-2.04E+00,3.444
3.485,-1.98E+00,3.836
3.502,-1.92E+00,4.086
3.518,-1.85E+00,4.083
3.535,-1.78E+00,4.258
3.552,-1.705,4.358
3.568,-1.634,3.858
3.585,-1.577,3.137
3.602,-1.529,2.293
3.618,-1.5,1.077
3.637,-1.492,9.15E-02
3.653,-1.497,-0.779
3.67,-1.518,-1.689
3.687,-1.554,-2.336
3.703,-1.595,-2.787
3.72,-1.646,-3.27
3.737,-1.704,-3.578
3.753,-1.77E+00,-3.543
3.77,-1.82E+00,-3.21
3.787,-1.87E+00,-3.187
3.803,-1.93E+00,-3.165
3.82,-1.978,-2.832
3.837,-2.023,-2.452
3.853,-2.06,-2.002
3.87,-2.09,-1.438
3.887,-2.108,-0.69
3.903,-2.11E+00,-3.80E-02
3.92,-2.109,0.13
3.937,-2.109,0.384
3.953,-2.096,1.027
3.97,-2.07E+00,1.574
3.987,-2.044,2.008
4.003,-2.007,2.395
4.02,-1.964,2.753
4.037,-1.92E+00,3.034
4.053,-1.86E+00,3.273
4.07,-1.81E+00,3.4
4.087,-1.75E+00,3.332
4.103,-1.70E+00,3.091
4.12,-1.647,2.553
4.137,-1.61,2.085
4.153,-1.577,1.728
4.17,-1.553,1.218
4.187,-1.536,0.655
4.203,-1.531,0.168
4.22,-1.531,-0.369
4.237,-1.543,-0.811
4.253,-1.558,-1.194
4.27,-1.583,-1.734
4.287,-1.616,-2.082
4.303,-1.65E+00,-2.201
4.32,-1.69E+00,-2.234
4.337,-1.73E+00,-2.306
