t,angular_displacement,angular_velocity
4.353,-1.77E+00,-2.241
4.37,-1.80E+00,-2.001
4.387,-1.83E+00,-1.713
4.403,-1.86E+00,-1.599
4.42,-1.89E+00,-1.285
4.437,-1.901,-0.679
4.453,-1.909,-0.206
4.47,-1.908,-1.57E-02
4.487,-1.909,0.325
4.503,-1.898,0.533
4.52,-1.89E+00,0.823
4.537,-1.87E+00,1.396
4.553,-1.85E+00,1.364
4.57,-1.83E+00,1.379
4.587,-1.80E+00,1.676
4.603,-1.77E+00,1.763
4.62,-1.74E+00,1.754
4.637,-1.71E+00,1.751
4.653,-1.68E+00,1.569
4.67,-1.66E+00,1.218
4.687,-1.641,1.091
4.703,-1.622,0.859
4.72,-1.613,0.202
4.737,-1.615,-0.252
4.753,-1.621,-0.25
4.77,-1.62E+00,-0.505
4.787,-1.64E+00,-0.98
4.803,-1.66E+00,-1.035
4.82,-1.67E+00,-1.278
4.837,-1.70E+00,-1.332
4.853,-1.72E+00,-1.253
4.87,-1.74E+00,-1.091
4.887,-1.75E+00,-1.101
4.903,-1.78E+00,-1.486
4.92,-1.80E+00,-1.492
4.937,-1.83E+00,-1.293
4.953,-1.85E+00,-1.107
4.97,-1.86E+00,-0.99
4.987,-1.88E+00,-0.835
5.003,-1.89E+00,-0.74
5.02,-1.90E+00,-0.548
5.037,-1.91E+00,-0.404
5.053,-1.92E+00,-0.187
5.07,-1.92E+00,8.70E-04
5.087,-1.92E+00,-2.93E-02
5.103,-1.92E+00,5.06E-02
5.12,-1.92E+00,0.12
5.137,-1.91E+00,0.12
5.153,-1.91E+00,5.75E-02
5.17,-1.91E+00,2.78E-02
5.187,-1.91E+00,4.59E-02
5.203,-1.91E+00,0.276
5.22,-1.90E+00,0.336
5.237,-1.90E+00,0.191
5.253,-1.90E+00,0.117
5.27,-1.89E+00,3.73E-02
5.287,-1.893,1.04E-02
5.303,-1.894,1.24E-03
5.32,-1.893,0.108
5.337,-1.89,0.282
5.353,-1.884,0.205
5.37,-1.883,0.132
5.387,-1.879,5.50E-02
5.403,-1.882,6.88E-02
5.42,-1.877,0.407
5.437,-1.868,0.409
5.453,-1.864,0.189
5.47,-1.862,2.90E-03
5.487,-1.863,-4.54E-02
5.503,-1.863,1.77E-02
5.52,-1.863,3.36E-02
5.537,-1.862,0.141
5.553,-1.858,0.273
5.57,-1.853,2.27E-02
5.587,-1.857,-0.132
5.603,-1.857,-5.77E-02
5.62,-1.859,-8.50E-02
5.637,-1.86,-5.93E-02
5.653,-1.861,-5.74E-02
5.67,-1.862,2.30E-02
5.687,-1.861,3.71E-02
5.703,-1.861,-0.252
5.72,-1.869,-0.272
5.737,-1.87,-0.293
